ppm,co2,uv,hum,temp,label
0.09,611,14.56,85,17,1
13.63,610,14.55,85,17,1
1.84,610,14.59,85,17,1
1.35,608,14.54,85,17,1
1.35,610,14.62,83,15,1
1.21,610,14.62,83,14,1
1.08,605,14.43,82,12,1
0.95,606,14.47,82,12,1
0.95,607,14.54,82,11,1
0.95,609,14.61,81,10,1
1.08,608,14.58,81,10,1
0.95,608,14.58,81,10,1
0.84,605,14.47,81,10,1
0.84,604,14.43,81,10,1
0.95,604,14.43,81,10,1
0.95,604,14.4,81,10,1
0.95,603,14.39,81,10,1
0.84,604,14.43,81,10,1
0.84,613,14.76,81,10,1
0.84,612,14.72,81,10,1
0.84,615,14.83,81,10,1
0.84,612,14.72,81,10,1
0.74,614,14.8,81,10,1
0.84,613,14.76,81,10,1
0.84,614,14.8,81,10,1
0.84,614,14.8,81,9,1
0.74,614,14.8,81,9,1
0.74,613,14.76,81,9,1
0.74,614,14.83,81,9,1
0.74,611,14.69,81,9,1
0.74,615,14.87,81,9,1
0.74,615,14.83,81,10,1
0.74,614,14.83,81,9,1
0.74,610,14.65,81,9,1
0.74,615,14.83,81,10,1
0.74,614,14.8,81,10,1
0.74,604,14.43,81,10,1
0.74,615,14.83,81,10,1
0.74,616,14.9,81,10,1
0.74,611,14.69,81,10,1
0.74,615,14.83,81,10,1
0.74,610,14.68,81,10,1
0.74,611,14.72,81,10,1
0.74,605,14.47,81,10,1
0.74,607,14.57,81,10,1
0.74,612,14.75,81,10,1
0.74,611,14.69,81,10,1
0.95,613,14.76,81,10,1
1.84,602,14.36,81,10,1
1.67,609,14.61,81,10,1
1.5,608,14.58,81,10,1
1.21,608,14.58,81,10,1
1.08,604,14.43,81,10,1
0.95,575,13.36,81,10,1
0.95,609,14.61,81,10,1
0.95,611,14.69,81,10,1
0.84,614,14.8,81,10,1
0.84,611,14.72,81,10,1
0.84,608,14.61,81,10,1
0.84,608,14.58,81,10,1
0.74,607,14.54,81,10,1
0.74,584,13.69,81,10,1
0.84,595,14.1,81,10,1
0.84,604,14.43,81,10,1
0.95,600,14.28,81,10,1
1.08,610,14.65,81,10,1
1.08,607,14.54,81,10,1
1.21,607,14.54,81,10,1
1.21,606,14.5,81,10,1
1.21,608,14.58,81,10,1
1.21,607,14.54,81,10,1
1.21,608,14.58,81,10,1
1.21,616,14.87,81,10,1
1.08,616,14.9,81,10,1
1.08,616,14.9,81,10,1
0.84,617,14.91,81,10,1
0.84,616,14.9,81,10,1
0.74,616,14.87,81,10,1
0.84,617,14.91,81,10,1
0.95,616,14.87,81,10,1
0.95,617,14.91,81,10,1
0.84,616,14.87,81,10,1
0.84,618,14.94,81,10,1
0.95,609,14.64,81,10,1
0.84,606,14.5,81,10,1
0.95,609,14.61,81,10,1
1.21,613,14.79,81,10,1
1.08,610,14.65,81,10,1
1.21,610,14.65,81,10,1
1.08,611,14.69,81,10,1
1.08,612,14.72,81,10,1
0.95,617,14.91,81,10,1
0.95,617,14.94,81,10,1
1.08,609,14.61,81,10,1
1.21,605,14.47,81,10,1
0.95,607,14.54,81,10,1
0.84,606,14.5,81,10,1
0.84,596,14.13,81,10,1
1.08,615,14.83,81,10,1
1.08,614,14.8,81,10,1
0.95,613,14.76,81,10,1
0.84,604,14.43,81,10,1
0.84,612,14.72,81,10,1
1.35,608,14.58,81,10,1
1.21,609,14.61,81,10,1
1.08,607,14.54,81,10,1
1.08,609,14.61,81,10,1
1.08,602,14.36,81,10,1
1.35,607,14.54,81,10,1
1.35,598,14.21,81,10,1
1.35,594,14.06,81,10,1
1.35,590,13.94,81,10,1
1.21,613,14.76,81,10,1
1.21,600,14.28,81,10,1
1.08,607,14.54,81,10,1
1.08,604,14.43,81,10,1
0.95,601,14.32,81,10,1
1.08,604,14.43,81,10,1
1.08,614,14.8,81,10,1
0.95,613,14.76,81,10,1
0.95,610,14.65,81,10,1
1.21,602,14.36,81,10,1
1.84,596,14.13,81,10,1
1.84,587,13.8,81,10,1
1.67,583,13.66,82,11,1
1.35,587,13.8,82,11,1
1.35,595,14.1,82,11,1
1.21,600,14.28,82,11,1
1.08,602,14.36,82,11,1
1.21,604,14.43,82,11,1
1.5,595,14.1,82,11,1
1.5,593,14.02,82,11,1
1.5,600,14.28,82,11,1
1.67,602,14.36,82,11,1
1.67,610,14.65,82,11,1
1.84,602,14.36,82,11,1
1.67,603,14.39,82,11,1
1.67,604,14.43,82,11,1
1.67,605,14.47,82,11,1
1.5,605,14.47,82,11,1
1.5,607,14.54,82,11,1
1.5,603,14.39,82,11,1
1.35,607,14.54,82,11,1
1.21,607,14.54,82,11,1
1.21,607,14.54,82,11,1
1.21,599,14.24,82,11,1
1.08,601,14.32,82,11,1
1.21,606,14.5,82,11,1
1.21,604,14.43,82,11,1
1.35,604,14.43,82,11,1
1.21,604,14.43,82,11,1
